Year,CITATION,SampleNo,UNIQUE_ID,SiO2,Al2O3,Fe2O3.T.,MgO,Na2O,CaO,K2O,TiO2,MnO,LOCATION,ELEVATION (MIN.),ELEVATION (MAX.),SAMPLING TECHNIQUE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),LAND/SEA (SAMPLING),ROCK TYPE,Type,ROCK TEXTURE,SAMPLE COMMENT
1990, [4449] BACON C. R. (1990),samp. 1210,,52.4,18,8.947982838,6.85,3.9,8.58,0.56,1.07,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1997, [4450] BACON C. R. (1997),samp. 88C1523,15417-88C1523,52.2,16,8.168823247,8.23,3.79,8.94,1.122,1.14,0.12,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA(CRATER LAKE),,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1997, [4450] BACON C. R. (1997),samp. 88C1557,15416-88C1557,52.1,17.3,8.728087851,7.59,3.52,9.42,0.669,1.12,0.14,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA(CRATER LAKE),,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1990, [4449] BACON C. R. (1990),samp. 1089,,52,18.5,9.528066848,6.3,3.7,8.46,0.57,1.24,0.14,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 81C-543,,51.52576288,16.70835418,8.435456889,7.633816908,3.701850925,9.884942471,0.900450225,1.250625313,0.130065033,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"ANDESITE, BASALTIC",,
1986, [4448] BACON C. R. (1986),samp. 444,15521-444,51.4,10.7,9.09800384,16.8,2.22,9.26,0.59,0.37,0.13,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,BASALT,,RING-VENT PHASE PYROCLASTIC FLOW
1990, [4449] BACON C. R. (1990),samp. 1530,15415-88C1530,50,17.2,9.603634072,8.44,3.32,10,0.54,1.18,0.15,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"BASALT, CALC-ALKALINE",,LAVA
1997, [4450] BACON C. R. (1997),samp. 88C1530,15415-88C1530,49.9,17.2,9.601659215,8.43,3.32,10,0.522,1.18,0.15,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"THOLEIITE, OLIVINE",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 92C-1771,,49.8,18,9.001323172,7.97,3.06,11.01,0.37,1.05,0.15,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,BASALT,,
1997, [4450] BACON C. R. (1997),samp. 88C1540,15413-88C1540,48.9,17.2,10.09838189,9.05,2.97,10.9,0.333,1.16,0.16,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"THOLEIITE, OLIVINE",,
1997, [4450] BACON C. R. (1997),samp. 84C1143,15412-84C1143,48.7,17,10.1984449,9.18,2.91,11.1,0.255,1.17,0.17,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"THOLEIITE, OLIVINE",,
2013, [17450] ANKNEY M. E.(2013)  [GeoReM [7644] ],samp. 86C-1290,,48.2302216,11.43086333,10.72943122,17.84819011,2.26611852,8.663391156,0.481299509,0.852301213,0.13035195,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA,,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,NOT GIVEN,,IGNIMBRITE OLIVINE CUMULATE SCORIA
1997, [4450] BACON C. R. (1997),samp. 81C621,15409-81C621,47.5,17.4,10.8046425,9.74,2.69,11.1,0.107,1.08,0.19,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA(CRATER LAKE),,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"THOLEIITE, OLIVINE",,
1997, [4450] BACON C. R. (1997),samp. 82C894,15410-82C894,47.4,17.3,10.0984659,9.51,2.83,11.3,0.083,1.04,0.16,CASCADES / HIGH CASCADES / OREGON / MOUNT MAZAMA(CRATER LAKE),,,OUTCROP,,,SUBAERIAL,VOLCANIC ROCK,"THOLEIITE, OLIVINE",,
