"SiO2","Al2O3","Fe2O3","MgO","Na2O","CaO","K2O"
44.21,14.01,17.74,5.15,3.27,7.96,1.53
44.24,14,17.67,5.1,3.52,7.78,1.52
44.4,13.49,18.03,5.08,3.32,8.03,1.46
45,12.59,17.84,4.43,2.97,8.97,1.65
44.79,14.09,17.88,4.48,3.46,7.42,1.73
45.2,14.17,18,3.98,3.19,7.77,1.69
44.83,12.91,17.82,4.22,3.14,9.06,1.57
44.8,13.66,17.5,4.81,3.37,7.94,1.56
46.72,13.03,17.43,3.89,3.45,8.12,1.97
43.57,13.9,17.93,5.04,3.31,8.03,1.54
51.3,13.57,15.76,2.72,3.64,6.52,2.29
50.15,13.87,16.35,3,3.44,6.49,2.07
50.74,14.1,15.69,3.16,3.58,6.31,2.19
47.57,16.52,10.99,6.13,4.45,9,2.08
50.72,14.21,15.94,2.97,3.5,6.21,2.17
47.55,13.94,17.65,3.61,3.49,6.92,1.84
45.5,13.85,17.56,4.56,3.38,7.55,1.78
52.09,14.15,15.07,2.59,4.26,5.78,2.52
45.09,13.84,17.41,4.16,3.28,8.6,1.8
51.82,14,15.35,2.31,4.33,6.02,2.46
47.58,13.93,17.1,3.64,3.49,6.99,1.91
48.28,13.08,17.42,3.42,3.4,7.26,1.79
37.37,10.9,13.91,3.44,3.53,6.48,1.36
47,12.66,17.21,3.81,3.38,8.27,1.8
45.84,13.08,17.43,4,3.41,8.36,1.82
47.79,16.43,10.45,7.32,3.76,8.81,2.08
43.53,13.44,18.31,4.66,2.94,9.31,1.52
44.28,13.67,17.26,4.8,3.01,9.33,1.54
52.11,14.22,15.31,2.5,4.01,5.73,2.56
52.5,14.2,15.16,2.23,4.09,5.77,2.54
45.94,14.92,13.75,8.93,2.29,10.54,0.5
46.15,15.35,13.24,8.3,2.64,10.71,0.61
46.87,16.61,11.21,7.32,4.05,9,1.78
45.43,14.58,14.27,9.4,2.29,10.32,0.45
46.53,14.42,15.93,6.39,2.57,9.19,0.81
44.98,14.63,15.81,6.29,2.87,9.55,0.89
46.29,14.43,15.22,6.77,2.79,8.86,0.89
45.82,15.21,13.48,9.15,2.45,10.67,0.4
46.31,15.27,13.72,8.67,2.56,9.95,0.42
44.44,14.85,16,7.14,2.92,9.68,0.66
48.57,18.03,9.79,9.01,2.3,10.72,0.3
46.01,14.37,14.47,7.7,2.51,9.83,0.85
45.82,14.62,14.52,8.04,2.56,9.97,0.68
51.18,16.99,9.39,7.36,3.03,9.91,0.85
55.82,16.52,7.89,4.75,3.88,7.38,1.78
52.28,18.4,8.01,6.86,3.24,9.39,0.66
53.15,17.55,8.63,6.15,3.46,8.9,0.89
48.11,17.47,10.2,9.28,2.3,11.18,0.21
55.52,16.44,6.94,7.24,3.41,8.01,1.36
51.16,13.42,15.13,5.11,2.8,9.11,0.53
56.19,16.19,7.19,7.28,3.39,7.21,1.46
58.32,16.9,5.68,5.07,3.74,7.79,1.32
48.43,17.38,10.07,8.64,2.8,11.09,0.22
0.04,0.05,48.65,0.05,0.43,0.03,6.02
50.65,18.25,8.74,5.62,3.94,9.05,1.52
56.45,16.45,6.05,7.32,3.48,7.59,1.55
76.59,11.72,1.89,0.04,4.71,0.18,4.73
48.65,15.03,8.69,10.34,2.88,10.7,1.6
76.99,11.46,1.89,0.04,4.68,0.22,4.56
76.81,11.53,1.91,0.05,4.7,0.24,4.58
75.6,12.11,2.15,0.06,4.78,0.34,4.74
46.82,16.53,10.23,8.12,4.26,8.71,2.08
0.02,0.18,81.86,0.02,0.49,0.01,5.42
0.27,0.04,49.54,0.06,0.55,0.02,6.82
67.14,19.57,0.86,0.04,6.73,0.15,5.34
66.19,19.18,0.46,0.05,6.64,0.14,7.17
0.02,0.03,49.89,0.03,0.48,0.02,6.21
0.32,0.04,49.89,0.05,0.45,0.03,6.21
0.24,0.05,47.46,0.04,0.48,0.03,6.37
0.22,0.02,49.16,0.06,0.46,0.02,6.04
0.26,0.05,49.4,0.03,0.57,0.06,6.59
77.79,11.44,1.55,0.03,4.56,0.24,4.27
77.08,11.7,1.58,0.03,4.73,0.23,4.52
77.25,11.72,1.56,0.03,4.68,0.23,4.41
77.35,11.93,1.32,0.02,4.51,0.3,4.47
51.73,17.31,10.7,3.38,4.38,7.46,1.69
50.09,16.53,12.1,5.18,3.68,7.67,1.39
48.38,16.56,12.34,6.25,3.17,8.53,1.29
48.35,17.11,13.17,5.14,3.86,7.42,1.19
49.63,15.45,11.1,8.12,3.47,8.02,1.58
49.7,15.18,11.4,7.94,3.57,7.94,1.69
47.99,16.06,12.56,6.54,3.37,8.63,1.19
49.28,16.23,13.01,5.05,3.66,7.52,1.58
49.89,15.04,12.82,8.81,2.67,8.61,0.55
50.45,14.34,11.81,9.1,2.77,8.9,0.72
49.45,15.46,12.13,8.32,3.07,8.82,0.77
45.93,14.55,12.04,10.99,2.87,9.5,1.29
75.99,13.12,1.46,0.04,3.61,0.65,4.99
46.66,15.1,13.71,8.69,2.44,10.22,0.56
46.53,15.02,13.64,9,2.48,9.78,0.78
47.68,16.04,12.94,7.73,2.65,9.71,1.08
47.61,16.6,12.28,8.09,2.56,9.75,0.92
46.85,13.25,16.79,4.39,3.38,7.63,1.99
48.15,13.61,16.49,3.35,3.53,6.82,2.48
51.2,14.44,14.49,3.54,3.43,6.36,2.53
49.81,13.32,15.58,3.41,3.53,6.58,2.59
51.28,13.89,14.66,3.73,3.19,6.54,2.55
60.7,14.28,10.22,1.23,3.91,3.27,4.23
47.04,15.6,13.49,7.49,2.48,10.26,0.73
47.31,15.55,13,7.88,2.45,10.31,0.75
47.27,14.93,12.88,10.16,2.22,9.64,0.56
47.6,15.8,12.15,9.33,2.2,9.96,0.59
45.76,14.56,16.19,6.82,2.5,9.25,0.7
45.83,13.84,16.62,7.14,2.44,9.18,0.69
47.1,14.22,15.02,7.59,2.5,9.14,0.84
58.35,17.05,6.98,3.86,4.23,6.64,1.52
47.36,15.14,13.1,8.94,2.36,9.6,0.73
47.27,14.78,14.95,6.63,2.59,9.31,0.74
47.38,13.07,16.51,5.25,2.61,9.44,0.9
47.3,14.67,14.84,7.14,2.38,9.31,0.85
47.29,14.78,14.62,7.3,2.55,9.28,0.72
45.04,14.9,14.83,9.37,2.54,9.39,0.61
46.1,16.12,14,11.03,2.44,8.2,0.36
46.94,15.49,14.38,6.83,2.59,9.49,0.65
45.11,14.78,15.55,7.17,2.74,9.37,0.88
46.18,15.09,14.73,7.72,2.55,9.61,0.63
46.39,15.47,13.41,9.38,2.38,9.87,0.54
46.61,15.23,13.75,9.2,2.45,9.67,0.56
46.93,15.12,13.76,7.93,2.45,10.24,0.54
52.73,17.75,8.83,5.6,3.92,8.89,0.8
49.17,17.1,9.31,8.19,3.47,9.72,1.31
51.13,16.7,9.24,7.78,3.58,8.73,1.05
45.79,15.94,14.22,10.87,2.58,8.28,0.41
46.1,16.12,14,11.03,2.44,8.2,0.36
