Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,Lat,Long,State,Georef ,Navdat Sample Number ,Authors,,,,,,,,,
19,77.29,12.91,0.83,0.03,3.85,0.43,4.57,37.4567,-118.6736,California,1984-019557,63210,"Sarna-Wojcicki, Andrei M; Bowman, H R; Meyer, C E; Russell, P C; Woodward, M J; McCoy, Gail; Rowe, J J, Jr; Baedecker, P A; Asaro, Frank; Michael, Helen",,,,,,,,,
128-218,47.24,14.87,13.96,7.98,2.49,9.51,0.71,43.55,-112.95,Idaho,2007-900002,56953,Chadwick-Claire-Grimm,,,,,,,,,
17,77.93,12.24,0.74,0.03,3.53,0.41,5,37.4567,-118.6736,California,1984-019557,63208,"Sarna-Wojcicki, Andrei M; Bowman, H R; Meyer, C E; Russell, P C; Woodward, M J; McCoy, Gail; Rowe, J J, Jr; Baedecker, P A; Asaro, Frank; Michael, Helen",,,,,,,,,
F27,58.22,16.52,6.97,4.78,4.28,6.97,1.14,19.51,-103.62,Jalisco,1991-040838,21881,Robin-Claude, Camus-Guy, Gourgaud-Alain,,,,,,,
74Y-167,49.49,15.73,11.55,7.56,2.61,10.65,0.38,44.897,-110.72,Wyoming,2002-003952,61935,"Christiansen, Robert L",,,,,,,,,
M81-16,63.71,16.57,4.15,2.92,4.27,5.19,2.38,19.76,-103.58,Jalisco,1991-079051,22557,Luhr-James-F, Carmichael-Ian-S-E,,,,,,,,
127-505,46.98,14.72,14.79,7.44,2.6,9.47,0.59,43.52,-112.96,Idaho,2007-900002,56938,Chadwick-Claire-Grimm,,,,,,,,,
127-359,47.52,16.44,10.68,9.71,2.39,11.75,0.15,43.52,-112.96,Idaho,2007-900002,56926,Chadwick-Claire-Grimm,,,,,,,,,
s_WSX-31,58.78,16.86,5.29,3.26,3.76,6.42,2.78,49,-121,WASHINGTON,1992-065607,30297,Draper-David-S,,,,,,,,,
76K50,46.97,16.27,11.81,8.7,2.38,11.42,0.32,43.390556,-113.20556,Idaho,1993-001867,30738,"Kuntz, Mel A; Covington, Harry R; Schorr, Linda J",,,,,,,,,
76K11,47.85,16.81,10.11,9.65,2.4,11.17,0.26,43.496944,-113.17056,Idaho,1993-001867,30743,"Kuntz, Mel A; Covington, Harry R; Schorr, Linda J",,,,,,,,,
76K119,46.69,15.02,13.89,8,2.64,10.01,0.66,43.8725,-112.60611,Idaho,1993-001867,30749,"Kuntz, Mel A; Covington, Harry R; Schorr, Linda J",,,,,,,,,
76K315,49.77,16,12.12,6.6,3.13,8.66,0.98,44.21528,-111.95805,Idaho,1993-001867,30759,"Kuntz, Mel A; Covington, Harry R; Schorr, Linda J",,,,,,,,,
8020101,76.78,12.5,1.01,0.01,4.29,0.53,4.72,42.818886,-111.59114,Idaho,2007-900001,51922,,,,,,,,,,
7160101,76.5,12.68,1.04,0.05,4.46,0.55,4.54,42.80779,-111.60314,Idaho,2007-900001,51924,,,,,,,,,,
3,77.86,12.23,0.79,0.04,3.72,0.47,4.8,34.2989,-119.2828,California,1984-019557,63195,"Sarna-Wojcicki, Andrei M; Bowman, H R; Meyer, C E; Russell, P C; Woodward, M J; McCoy, Gail; Rowe, J J, Jr; Baedecker, P A; Asaro, Frank; Michael, Helen",,,,,,,,,
8220104,76.49,12.58,1,0.04,4.31,0.55,4.85,42.83777,-111.57342,Idaho,2007-900001,51936,,,,,,,,,,
8220103,76.48,12.68,1.02,0.03,4.51,0.5,4.6,42.83201,-111.58167,Idaho,2007-900001,51937,,,,,,,,,,
7160108,76.39,12.38,1.08,0.06,4.26,1.09,4.59,42.835464,-111.57137,Idaho,2007-900001,51938,,,,,,,,,,
6280204,76.93,12.39,1.14,0.06,3.82,0.64,4.74,43.028618,-111.52612,Idaho,2007-900001,51940,,,,,,,,,,
6280202,76.81,12.58,1.13,0.03,3.83,0.51,4.97,43.031666,-111.52916,Idaho,2007-900001,51941,,,,,,,,,,
6280201,77.06,12.48,1.16,0.07,3.67,0.59,4.83,43.03168,-111.52916,Idaho,2007-900001,51942,,,,,,,,,,
6110201,76.91,12.29,1.32,0.13,3.59,0.63,4.94,43.033047,-111.53973,Idaho,2007-900001,51944,,,,,,,,,,
9010103,77.19,12.48,1.19,0.05,3.71,0.47,4.76,43.035248,-111.54818,Idaho,2007-900001,51945,,,,,,,,,,
7170201,77.25,12.49,1.12,0.03,3.58,0.5,4.9,43.05025,-111.57205,Idaho,2007-900001,51948,,,,,,,,,,
11080301,75.86,12.59,1.77,0.04,4.38,0.39,4.81,43.394073,-113.02673,Idaho,2007-900001,51954,,,,,,,,,,
11080301,75.57,12.7,1.81,0.04,4.57,0.38,4.79,43.394073,-113.02673,Idaho,2007-900001,51955,,,,,,,,,,
11080303,76.41,12.3,1.82,0,4.56,0.23,4.53,43.399994,-113.04019,Idaho,2007-900001,51956,,,,,,,,,,
11080304,76.02,12.38,1.78,0.01,4.77,0.19,4.71,43.40318,-113.04213,Idaho,2007-900001,51957,,,,,,,,,,
TR87,53.53,16.63,8.12,4.67,3.94,7.97,2.7,39.291763,-120.14824,California,1985-900103,11293,"Latham, Jr., Thomas",,,,,,,,,
MB-605,57.82,17.02,6.4,3.06,4.35,6.47,3.21,48.819,-121.741,washington,2003-046396,75294,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
05P010,45.28,14.17,15.08,7.19,2.36,11.44,0.45,43.6025,-112.15181,Idaho,2007-900167,52542,John D. Kauffman,,,,,,,,,
Z-722,62.5,16.09,4.91,3.52,3.73,6.23,1.93,19.7541,-100.4058,Mexico,2007-900087,60674,"Blatter, D.L., Farmer, G. L., and Carmichael, I.S.E.",,,,,,,,,
MB-607,58.49,17.18,6.33,2.85,4.71,5.96,2.89,48.821,-121.74,washington,2003-046396,75295,"Hildreth, Wes; Fierstein, Judy; Lanphere, Marvin",,,,,,,,,
H94-1-6,44.03,11.97,14.51,10.58,2.71,11.28,1.33,37.065,-113.274,Utah,1999-062882,57998,Smith-Eugene-I, Sanchez-Alexander, Walker-J-Douglas, Wang-Kefa,,,,,,
TR99,53.34,17.73,8.28,4.18,4.68,7.35,2.1,39.298454,-120.20028,California,1985-900103,11297,"Latham, Jr., Thomas",,,,,,,,,
