Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
MEE27,54.01,15.67,7.8,11.2,1.04,1.7,1.05,0.5,0.08,0.09,6.25,Booysens,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
MEE39,62.41,29.44,1.02,0.34,0.39,0.39,0.9,0.99,0,0.07,5.4,K8,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
MED12,65.32,11.71,13.4,4.36,0.02,0.02,0.86,0.47,0.1,0.02,3.52,Parktown-Brixton,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
SJ32,53.64,15.84,8.52,12.21,1.27,1.37,0.74,0.61,0.06,0.09,5.78,Booysens,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
MED7,64.22,28.09,0.76,0.46,0.26,0.18,0.61,0.78,0,0.06,5.17,K8,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
MEE1,70.8,22.04,1.44,0.28,0.07,0.02,0.51,0.61,0,0.05,4.5,K8,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
MED11,47.72,7.25,31.7,4.02,0.13,0.12,0.16,0.24,0.47,0.03,5.79,Parktown-Brixton,Neoarchean,Wronkiewicz & Condie 1987,2765,Wronkiewicz (1989) [thesis],,,N,N
JWS811,63.42,16.63,5.72,5.94,0.23,0.21,3.48,0.45,0,0.13,4.36,Bothaville,Neoarchean,Wronkiewicz & Condie 1987,2700,Wronkiewicz (1989) [thesis],,,N,N
C198,69.6,14.43,2.71,2.65,0.24,0.26,6.91,0.85,0,0.21,1.77,Selati Fm,Neoarchean,Wronkiewicz & Condie 1987,2600,Wronkiewicz (1989) [thesis],,,N,N
C196,68.76,15.13,2.88,2.82,0.23,0.15,6.67,0.53,0,0.12,2.09,Selati Fm,Neoarchean,Wronkiewicz & Condie 1987,2600,Wronkiewicz (1989) [thesis],,,N,N
C197,73.14,12.82,3.32,2.9,0.27,0.12,5.6,0.46,0,0.1,1.77,Selati Fm,Neoarchean,Wronkiewicz & Condie 1987,2600,Wronkiewicz (1989) [thesis],,,N,N
D53,60.45,12.23,18.18,1.42,0.18,0.13,0.17,0.47,0,0.05,6.05,Selati Fm,Neoarchean,Wronkiewicz & Condie 1987,2600,Wronkiewicz (1989) [thesis],,,N,N
D26,67.99,18.58,4.45,0.84,0.44,0.38,3.65,0.68,0,0.04,3.14,Timeball Hill Shale,Paleoproterozoic,Wronkiewicz & Condie 1987,2322,Wronkiewicz (1989) [thesis],,,N,N
79NC130,61.59,17.86,6.46,4.78,2.21,0.87,5.92,0.47,0.09,0,2.74,Moodies Fm ,Paleoarchean,Wronkiewicz (1989) [thesis],3300,Wronkiewicz (1989) [thesis],,,N,N
79NC131,55.53,15.04,7.34,5.07,1.52,0.8,5.49,0.43,0.15,0,8.61,Moodies Fm ,Paleoarchean,Wronkiewicz (1989) [thesis],3300,Wronkiewicz (1989) [thesis],,,N,N
79NC129,58.12,15.37,9.21,5.45,2.03,0.58,4.71,0.55,0.11,0,3.89,Moodies Fm ,Paleoarchean,Wronkiewicz (1989) [thesis],3300,Wronkiewicz (1989) [thesis],,,N,N
79NC124,59.44,13.3,6.01,4.97,2.07,1.92,4.62,0.38,0.14,0,7.18,Moodies Fm ,Paleoarchean,Wronkiewicz (1989) [thesis],3300,Wronkiewicz (1989) [thesis],,,N,N
79NC123,61.93,11.07,7.79,5.19,0.96,2.59,3.59,0.36,0.14,0,6.36,Moodies Fm ,Paleoarchean,Wronkiewicz (1989) [thesis],3300,Wronkiewicz (1989) [thesis],,,N,N
Po58,52.97,26.8,3.43,1.37,0.06,0.06,9.46,1.08,0.1,0.06,4.33,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P34,54.67,24.26,4.9,1.65,0.27,0.05,8.58,1.06,0.7,0.04,4.3,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po64,58.11,20.91,5.63,0.59,0.09,0.08,7.31,0.87,0.62,0.69,4.09,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P59,49.1,28.98,6.15,2.21,0.42,0.01,7.28,1.58,0.08,0.03,4.61,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po65,59.24,20.78,5.54,0.35,0.09,0.16,7.2,0.88,0.42,0.02,3.94,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po66,58.63,20.67,6.61,0.27,0.08,0.09,7.18,0.91,0.6,0.04,3.55,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P28,59.88,26.99,1,0.35,0.71,0.11,7.15,0.86,0.03,0.1,3.61,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P57,49.96,28.42,6.94,1.61,0.58,0.01,6.87,1.5,0.05,0.04,4.63,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po63,60.5,20.17,5.35,0.76,0.18,0.07,6.49,0.9,0.13,0.04,3.78,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po105,54.68,25.57,5.63,0.94,0.27,0.02,6.48,1.25,0.04,0.02,5.38,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po59,61.64,19.25,4.58,1.26,0.09,0.03,6.37,0.82,0.14,0.02,4.88,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P5,68.17,19.02,1.19,1.15,0.56,0.01,6.36,0.21,0.01,0.01,2.44,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P55,56.46,24.76,5.61,1.1,0.42,0.01,6.29,1.11,0.03,0.04,4.36,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P60,53.5,25.81,6.74,2.02,0.34,0.01,6.2,1.18,0.05,0.04,4.48,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po104,55.8,25.01,5.88,0,0.26,0.01,6.2,1.13,0.01,0.04,4.63,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po102,54.19,25.26,6.91,0.54,0.26,0.02,6.05,1.19,0.03,0.07,5.91,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po103,57.76,23.88,5.73,0,0.27,0.05,5.85,1.14,0.01,0.04,4.78,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P56,55.78,25.21,6.04,1.38,0.63,0.02,5.85,1.19,0.05,0.03,4.25,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po55,59.85,19.79,6.03,1.87,0.59,0.06,5.84,0.92,0.08,0.03,3.69,Mozaan Gp ,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P58,58.92,23.19,5.24,1.76,0.2,0.02,5.78,1.21,0.05,0.03,3.68,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po35,61.03,19.15,7.24,3.51,0.06,0.35,5.75,0.69,0.08,0.26,2.73,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
P54,56.68,22.33,8.39,2.46,0.38,0.03,5.73,1.01,0.08,0.04,3.67,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
Po106,58.69,23,5.7,0.29,0.21,0.06,5.65,1.13,0.03,0.06,5.17,Nsuze Gp,Mesoarchean,Wronkiewicz (1989) [thesis],3000,Wronkiewicz (1989) [thesis],,,N,N
