Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
AA0100,58.54,21.06,7.45,5,1.3,0.22,2.31,1.02,0.07,0.04,5.04,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MED4,60.85,25.95,4.72,1.6,0.37,0.04,2.3,1,0.03,0.06,4.33,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
AA0101,57.79,20.78,7.02,5.03,1.48,0.2,2.28,0.97,0.06,0.05,4.81,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MED9,63,24.01,4.21,0.95,1.84,0.1,1.96,0.93,0.04,0.05,3.3,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
7304,50.87,19.22,11.37,7.43,0.17,0.11,1.87,0.72,0.06,0.08,7.48,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE14,64.26,19.58,6.98,2.8,0.27,0.07,1.77,0.74,0.06,0.06,3.52,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
AA0097,64.65,16.84,6.14,4.44,1.18,0.23,1.76,0.78,0.06,0.04,4.46,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
7305,51.09,18.94,10.87,7.75,0.14,0.12,1.7,0.75,0.08,0.08,7.33,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE28,68.54,22.64,0.83,0.53,2.54,0.19,1.5,0.9,0.01,0.05,2.88,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
uc760,49.47,19.03,12.19,8.08,0.25,0.15,1.12,0.79,0.12,0.07,7.62,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE16,60.63,22.09,8.35,2.52,0.11,0.04,1.12,0.83,0.07,0.06,3.81,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE30,57.22,16.52,9.12,9.69,0.16,0.16,0.99,0.56,0.11,0.11,5.49,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MED3,63.07,23.93,4.64,1.39,0.85,0.09,0.95,0.83,0.04,0.07,3.37,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE34,59.36,26.1,6.58,1.55,0.18,0.18,0.94,0.97,0.03,0.6,4.35,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE33,54.35,16.59,8.95,11.16,0.1,0.68,0.87,0.57,0.12,0.24,6.35,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MEE3,62.47,21.67,9.73,1.55,0.14,0.03,0.84,0.84,0.07,0.06,3.06,K8,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
SJ33,58.37,14.99,7.07,10.61,2.02,1.1,0.72,1.41,0.04,0.07,4.85,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
MED18,53.92,13.98,17.2,7.02,0.03,0.68,0.67,0.6,0.09,0.09,5.34,Roodepoort,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
gv228,52.54,15.84,14.18,7.27,0.03,0.12,0.67,0.59,0.23,0.09,7.31,Booysens,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
C72,54.62,12.04,23.96,2.33,0.19,0.02,0.42,0.49,0.11,0.04,4.96,Parktown-Brixton,Neoarchean,Wronkiewicz (1989) [thesis],2765,Wronkiewicz (1989) [thesis],,,N,N
